Inviabilidades	FO
5	73627.979285
4	72085.779279
5	71487.199193
4	72085.779279
5	75595.374409
5	73627.979285
4	73927.912024
5	71487.199193
6	72282.106637
6	71562.215101
5	71626.049398
5	71487.199193
4	72085.779279
6	72510.952284
4	73927.912024
6	71973.547211
4	73927.912024
5	70389.463944
6	72282.106637
5	71487.199193
5	71299.383395
5	71487.199193
4	72085.779279
6	72510.952284
5	71487.199193
5	71626.049398
5	71487.199193
5	71487.199193
5	71299.383395
4	72085.779279
4	72085.779279
6	71973.547211
5	71626.049398
5	71487.199193
6	70927.075665
4	73927.912024
5	71487.199193
6	72282.106637
6	72282.106637
5	71487.199193
5	71626.049398
4	72085.779279
6	72282.106637
5	71626.049398
5	71626.049398
5	71626.049398
6	72510.952284
4	73927.912024
4	72085.779279
4	72085.779279
